split_name,model,config_id,params,val_mae,val_rmse,val_spearman,best_epoch,val_late_mae
cross_train_C1_C3_test_C2,TCN,5,"{""dropout"": 0.1, ""hidden_dim"": 128, ""kernel_size"": 3, ""levels"": 3, ""lr"": 0.0005, ""weight_decay"": 0.0001}",0.2351254935460696,0.2982815760392672,0.9862001156737998,1.0,0.14461627243808195
cross_train_C1_C3_test_C2,TCN,6,"{""dropout"": 0.2, ""hidden_dim"": 128, ""kernel_size"": 5, ""levels"": 3, ""lr"": 0.0005, ""weight_decay"": 0.0001}",0.3410582372735294,0.4280905896989148,0.8637392337392338,3.0,0.2505252924701339
cross_train_C1_C3_test_C2,Transformer,1,"{""d_model"": 32, ""dim_feedforward"": 64, ""dropout"": 0.1, ""lr"": 0.001, ""nhead"": 2, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.2363071876659225,0.2650714483198964,0.27212011317274476,1.0,0.15838877338814925
cross_train_C1_C3_test_C2,Transformer,2,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.15496148452449304,0.1883434853520476,0.1552734747471589,1.0,0.07066800103973749
cross_train_C1_C3_test_C2,Transformer,3,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.19499556717295677,0.25994390357310454,-0.04646679067731696,2.0,0.11269221547148212
cross_train_C1_C3_test_C2,Transformer,4,"{""d_model"": 64, ""dim_feedforward"": 256, ""dropout"": 0.2, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.2646270895166657,0.2923977591077186,0.11453019242492923,1.0,0.1842928028020721
cross_train_C1_C3_test_C2,Transformer,5,"{""d_model"": 128, ""dim_feedforward"": 256, ""dropout"": 0.2, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.24551740672439337,0.2719601580122151,0.2827322464164569,1.0,0.16624472854549394
cross_train_C1_C3_test_C2,Transformer,6,"{""d_model"": 32, ""dim_feedforward"": 128, ""dropout"": 0.2, ""lr"": 0.0005, ""nhead"": 2, ""num_layers"": 2, ""weight_decay"": 0.001}",0.1763714584068228,0.20826522536386427,0.0925315367420631,5.0,0.10143859939422138
cross_train_C1_C3_test_C2,latent_ode,1,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.15488836386073856,0.19316401656567997,0.1310929610929611,14.0,0.08007534839027472
cross_train_C1_C3_test_C2,latent_ode,2,"{""latent_dim"": 16, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.17311122368268955,0.20728312706350607,-0.015427133321870179,15.0,0.0893709127966639
cross_train_C1_C3_test_C2,latent_ode,3,"{""latent_dim"": 32, ""lr"": 0.0005, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.2740804376486593,0.3328548370228235,-0.257754521438732,12.0,0.19872504583985556
cross_train_C1_C3_test_C2,latent_ode,4,"{""latent_dim"": 32, ""lr"": 0.001, ""smooth_weight"": 0.0005, ""weight_decay"": 0.0001}",0.18086750645847177,0.21066109554881476,-0.26834680255732885,9.0,0.10313161079876117
cross_train_C2_C3_test_C1,Ridge,ridge_alpha_0.001,"{""alpha"": 0.001}",0.3522608028550555,0.41845386438680066,0.6235079373385737,,
cross_train_C2_C3_test_C1,Ridge,ridge_alpha_0.01,"{""alpha"": 0.01}",0.35196334616217617,0.41812594997887076,0.6238978932612474,,
cross_train_C2_C3_test_C1,Ridge,ridge_alpha_0.1,"{""alpha"": 0.1}",0.3496125422076445,0.4155183949313204,0.6276271580109528,,
cross_train_C2_C3_test_C1,Ridge,ridge_alpha_1.0,"{""alpha"": 1.0}",0.3431944477603509,0.40718275058349146,0.6459750073069118,,
cross_train_C2_C3_test_C1,Ridge,ridge_alpha_10.0,"{""alpha"": 10.0}",0.3207838568509526,0.3749280397581142,0.4870888398922233,,
cross_train_C2_C3_test_C1,Ridge,ridge_alpha_100.0,"{""alpha"": 100.0}",0.292807800784297,0.33376472677173374,0.41022728586855817,,
cross_train_C2_C3_test_C1,Ridge,ridge_alpha_1000.0,"{""alpha"": 1000.0}",0.2700079233018935,0.31985366827121803,0.731824548548775,,
cross_train_C2_C3_test_C1,LSTM,1,"{""dropout"": 0.0, ""hidden_dim"": 32, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.1848022913762058,0.2112740995400026,0.18646661713342572,2.0,0.10174466160527779
cross_train_C2_C3_test_C1,LSTM,2,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.20062937872639547,0.23383058782872884,0.10584895466753808,1.0,0.10845087759434154
cross_train_C2_C3_test_C1,LSTM,3,"{""dropout"": 0.1, ""hidden_dim"": 128, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.20017563468621424,0.24022306422170958,0.2219899296494475,1.0,0.10139323252837593
cross_train_C2_C3_test_C1,LSTM,4,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.19205174001709868,0.23385893482165296,0.004113643778909215,2.0,0.10131664561819942
cross_train_C2_C3_test_C1,LSTM,5,"{""dropout"": 0.2, ""hidden_dim"": 128, ""lr"": 0.0005, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.1874512345918144,0.22743759235147118,0.03663693560559089,1.0,0.09166928269790814
cross_train_C2_C3_test_C1,LSTM,6,"{""dropout"": 0.2, ""hidden_dim"": 64, ""lr"": 0.0005, ""num_layers"": 2, ""weight_decay"": 0.001}",0.21996897653521347,0.25554191402923554,0.22282714505267848,1.0,0.08353953529605826
cross_train_C2_C3_test_C1,TCN,1,"{""dropout"": 0.1, ""hidden_dim"": 32, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.2513243910091133,0.28784669976658805,0.5243179754312743,2.0,0.1293432611693095
cross_train_C2_C3_test_C1,TCN,2,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.23963153974082899,0.2767388042985511,0.3161779930951343,1.0,0.1497652526734768
cross_train_C2_C3_test_C1,TCN,3,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 3, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.24120263250096968,0.2789287779067208,0.4781658920597774,1.0,0.1427788099407151
cross_train_C2_C3_test_C1,TCN,4,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 5, ""levels"": 3, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.23523939769745084,0.2751736848377552,0.6682834370674293,1.0,0.13924737035056428
cross_train_C2_C3_test_C1,TCN,5,"{""dropout"": 0.1, ""hidden_dim"": 128, ""kernel_size"": 3, ""levels"": 3, ""lr"": 0.0005, ""weight_decay"": 0.0001}",0.24731986493784158,0.28127522440228264,0.8349960379676732,1.0,0.123989834960929
cross_train_C2_C3_test_C1,TCN,6,"{""dropout"": 0.2, ""hidden_dim"": 128, ""kernel_size"": 5, ""levels"": 3, ""lr"": 0.0005, ""weight_decay"": 0.0001}",0.2346816899579608,0.26824480830259173,0.9846550978747242,1.0,0.1397738043929434
cross_train_C2_C3_test_C1,Transformer,1,"{""d_model"": 32, ""dim_feedforward"": 64, ""dropout"": 0.1, ""lr"": 0.001, ""nhead"": 2, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.1906997068428124,0.22760561919461103,0.0932931366378229,1.0,0.08951483205344309
cross_train_C2_C3_test_C1,Transformer,2,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.19438536901803066,0.2294333047387966,0.15255745104928226,1.0,0.09163451912885934
cross_train_C2_C3_test_C1,Transformer,3,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.1818737284420058,0.22286960498745595,0.052249958285728926,1.0,0.08352019954198861
cross_train_C2_C3_test_C1,Transformer,4,"{""d_model"": 64, ""dim_feedforward"": 256, ""dropout"": 0.2, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.1829082592902705,0.21860461313857962,0.1138518378037296,1.0,0.09261375945517976
cross_train_C2_C3_test_C1,Transformer,5,"{""d_model"": 128, ""dim_feedforward"": 256, ""dropout"": 0.2, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.19938681788276882,0.23822272220947938,0.04459931141640472,1.0,0.1036726529116505
cross_train_C2_C3_test_C1,Transformer,6,"{""d_model"": 32, ""dim_feedforward"": 128, ""dropout"": 0.2, ""lr"": 0.0005, ""nhead"": 2, ""num_layers"": 2, ""weight_decay"": 0.001}",0.18332536210150768,0.22154667143199874,0.09455472739012732,20.0,0.10432839111023236
cross_train_C2_C3_test_C1,latent_ode,1,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.1868744370295705,0.22314971771581488,0.9027321880943295,1.0,0.13637087780693502
cross_train_C2_C3_test_C1,latent_ode,2,"{""latent_dim"": 16, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.21076158003641465,0.24278285220548296,0.7767769357386727,1.0,0.12430140763892411
cross_train_C2_C3_test_C1,latent_ode,3,"{""latent_dim"": 32, ""lr"": 0.0005, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.2041209453053307,0.2396925998723013,0.8723575158421627,1.0,0.1258045646702122
cross_train_C2_C3_test_C1,latent_ode,4,"{""latent_dim"": 32, ""lr"": 0.001, ""smooth_weight"": 0.0005, ""weight_decay"": 0.0001}",0.21486863698422287,0.2512311125272443,0.8997986486241502,5.0,0.09326536899350364
