protocol,split_name,model,feature_setting,K,mae,rmse,spearman,late_mae,monotonic_violation_rate
cross_condition,cross_train_C2_C3_test_C1,TCN,selected_top90,40.0,0.11806452815008343,0.1478330331853819,0.722907239028612,0.13093636718924168,0.31891903604633737
cross_condition,cross_train_C2_C3_test_C1,LSTM,selected_top90,40.0,0.1287697901761518,0.15411649625604934,0.6795192033462889,0.1393579679950357,0.388479326000307
cross_condition,cross_train_C2_C3_test_C1,latent_ode,selected_top30,40.0,0.13350030657226652,0.16320539723456556,0.685498763241337,0.12022113069959772,0.45317740920875016
cross_condition,cross_train_C2_C3_test_C1,TCN,selected_top60,40.0,0.142729806977219,0.185017799649553,0.643229128012101,0.09552144174543832,0.3667111645911282
cross_condition,cross_train_C2_C3_test_C1,Transformer,selected_top90,40.0,0.1536654181729103,0.17836740281800417,0.49100074930926557,0.16111151065252802,0.40354364752989724
cross_condition,cross_train_C2_C3_test_C1,Transformer,selected_top60,40.0,0.15375317521486984,0.1866731625371734,0.4765815946429185,0.16089379096267611,0.3690899039051467
cross_condition,cross_train_C2_C3_test_C1,LSTM,selected_top60,40.0,0.158935942766344,0.18673871196902223,0.6632617907821243,0.10928127600849576,0.3781281429634849
cross_condition,cross_train_C2_C3_test_C1,TCN,selected_top30,40.0,0.1648539036265313,0.19522107979805287,0.8278714993571648,0.12651461815629084,0.30590565089887495
cross_condition,cross_train_C2_C3_test_C1,LSTM,selected_top30,40.0,0.16679743954673945,0.19505678600204399,0.8826107406115865,0.13130208184626432,0.3198257695848872
cross_condition,cross_train_C2_C3_test_C1,latent_ode,selected_top90,40.0,0.20610869256741698,0.23798101250197073,0.43339806927006147,0.18296501500880463,0.4302131384859079
cross_condition,cross_train_C2_C3_test_C1,Ridge,selected_top60,,0.21523222808060966,0.2694801320424808,0.3818424334998467,0.3210425397224393,0.47707216271201663
cross_condition,cross_train_C2_C3_test_C1,Transformer,selected_top30,40.0,0.22009455301820013,0.2552228908275997,0.5717529483110494,0.20286965288010222,0.33168510035481846
cross_condition,cross_train_C2_C3_test_C1,Ridge,selected_top30,,0.24349365718068974,0.28639676312128703,0.6249803014218738,0.2682106652449677,0.4145076904367329
cross_condition,cross_train_C2_C3_test_C1,latent_ode,selected_top60,40.0,0.24729172193608306,0.27030283578692593,0.40410526225166316,0.2448838746914282,0.46089687432094906
cross_condition,cross_train_C2_C3_test_C1,Ridge,selected_top90,,0.2607579715843827,0.312247626623015,0.11261443085726794,0.33891978352902213,0.46382817909955393
