bearing_id,condition_id,n_points,mae,rmse,spearman,late_mae,monotonic_violation_rate,model,feature_setting,K,protocol,split_name,best_params,num_features
C2_Bearing2_3,C2,533,0.4057451394944859,0.45406032264761165,0.8354776817800387,0.14943609034671682,0.2518796992481203,Ridge,selected_top30,NA,cross_condition,cross_train_C1_C3_test_C2,"{""alpha"": 0.01}",30
C2_Bearing2_4,C2,42,0.1236768432316326,0.14647677472141893,0.9279670337125534,0.10716101871087001,0.4146341463414634,Ridge,selected_top30,NA,cross_condition,cross_train_C1_C3_test_C2,"{""alpha"": 0.01}",30
C2_Bearing2_5,C2,339,0.23548147488099724,0.29388480550561596,0.5628617213038389,0.2839074669971916,0.4467455621301775,Ridge,selected_top30,NA,cross_condition,cross_train_C1_C3_test_C2,"{""alpha"": 0.01}",30
C2_Bearing2_1,C2,452,0.22964010271707352,0.27456742532762857,-0.5088780810074781,0.2024491493016811,0.4611973392461197,LSTM,selected_top30,40,cross_condition,cross_train_C1_C3_test_C2,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",30
C2_Bearing2_2,C2,122,0.09834396242561033,0.1304065324046685,0.9427468681948709,0.09822655753426564,0.2396694214876033,LSTM,selected_top30,40,cross_condition,cross_train_C1_C3_test_C2,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",30
C2_Bearing2_3,C2,494,0.17890130803281223,0.21654140462805163,0.8538278631798435,0.10003160050109727,0.4421906693711968,LSTM,selected_top30,40,cross_condition,cross_train_C1_C3_test_C2,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",30
C2_Bearing2_4,C2,3,0.029380520184834797,0.036035482685861445,-0.5,0.029380520184834797,0.5,LSTM,selected_top30,40,cross_condition,cross_train_C1_C3_test_C2,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",30
C2_Bearing2_5,C2,300,0.22678682716252904,0.2500476105560893,0.9206337848198313,0.11920639552066431,0.3377926421404682,LSTM,selected_top30,40,cross_condition,cross_train_C1_C3_test_C2,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",30
C2_Bearing2_1,C2,452,0.2650281844698758,0.3169144686584004,-0.07636120374565991,0.44606196021401406,0.4722838137472284,TCN,selected_top30,40,cross_condition,cross_train_C1_C3_test_C2,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",30
C2_Bearing2_2,C2,122,0.07936578036713429,0.09401525688767591,0.9409558490653326,0.04809876283979975,0.39669421487603307,TCN,selected_top30,40,cross_condition,cross_train_C1_C3_test_C2,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",30
C2_Bearing2_3,C2,494,0.1271769147634229,0.15536177718394828,0.8607546256099687,0.10380024614169088,0.4543610547667343,TCN,selected_top30,40,cross_condition,cross_train_C1_C3_test_C2,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",30
