protocol,split_name,model,feature_setting,K,mae,rmse,spearman,late_mae,monotonic_violation_rate
cross_condition,cross_train_C1_C2_test_C3,latent_ode,original,40.0,0.29652137507415016,0.35501096244246777,0.44721044996743353,0.1973446844267848,0.28888575610204803
cross_condition,cross_train_C1_C3_test_C2,TCN,wavelet_only,40.0,0.1248137115310494,0.14886451180729746,0.7230103794550036,0.1256553638891231,0.16758226291362419
cross_condition,cross_train_C1_C3_test_C2,Transformer,frequency,40.0,0.16527326347634777,0.19114875330711462,0.7099517085267611,0.10552684172655842,0.18941446895518638
cross_condition,cross_train_C1_C3_test_C2,Transformer,original,40.0,0.16554116534517624,0.18727623476923255,0.6774077911620213,0.10675396833529363,0.13529191891807896
cross_condition,cross_train_C1_C3_test_C2,LSTM,time,40.0,0.17093777016781347,0.1993801316589315,0.3398850527201304,0.12415404134582375,0.11007507927194682
cross_condition,cross_train_C1_C3_test_C2,LSTM,wavelet_only,40.0,0.17287363704777123,0.2065621410931608,0.5642818083679879,0.11418094848328997,0.1924489043397373
cross_condition,cross_train_C1_C3_test_C2,Transformer,time,40.0,0.17586239857731564,0.20219794973366428,0.3362460049913451,0.13556271762628833,0.19937359429765306
cross_condition,cross_train_C1_C3_test_C2,Transformer,wavelet_only,40.0,0.17830718495108996,0.20592213997725578,0.3599266220428593,0.16589710148131004,0.2977337551762417
cross_condition,cross_train_C1_C3_test_C2,LSTM,frequency,40.0,0.1870534707445811,0.22279578159434815,0.41219784074521326,0.08348706005320358,0.04988813058667524
cross_condition,cross_train_C1_C3_test_C2,TCN,time,40.0,0.20776869336612788,0.2524071318064761,0.21219718416310776,0.10352851452558878,0.3314234031681555
cross_condition,cross_train_C1_C3_test_C2,TCN,original,40.0,0.21626027582697266,0.2530716657711454,0.6208385135949414,0.08747313583150428,0.1289693499135667
cross_condition,cross_train_C1_C3_test_C2,latent_ode,time,40.0,0.2280902777974741,0.26517527858536105,0.6186541293464576,0.2234130317675984,0.29938157298039375
cross_condition,cross_train_C1_C3_test_C2,LSTM,original,40.0,0.2320319379874789,0.27515669451423613,0.3431290260442883,0.10166199624536891,0.05223580783175443
cross_condition,cross_train_C1_C3_test_C2,Ridge,frequency,,0.24960882080418,0.3025176304575432,0.48255271132929406,0.23933410547808281,0.32209654305547175
cross_condition,cross_train_C1_C3_test_C2,latent_ode,wavelet_only,40.0,0.25017655278404394,0.2848255414794976,0.38812637870786826,0.20279372476978005,0.3800962731787198
cross_condition,cross_train_C1_C3_test_C2,Ridge,time,,0.2626332271519526,0.3052576661891778,0.5713338934292874,0.23212093872712827,0.32963905244059777
cross_condition,cross_train_C1_C3_test_C2,Ridge,wavelet_only,,0.26977360341390644,0.32106591300592835,0.3966367346130986,0.2060984229378458,0.3786833100704258
cross_condition,cross_train_C1_C3_test_C2,latent_ode,frequency,40.0,0.2777263462087235,0.31776476256113584,0.22392185735974984,0.16997512443402663,0.5029961778558394
cross_condition,cross_train_C1_C3_test_C2,TCN,frequency,40.0,0.28206391710729645,0.32785086321686585,0.36469660330269554,0.3359893025350418,0.13164337575352358
cross_condition,cross_train_C1_C3_test_C2,Ridge,original,,0.2973363821497858,0.3486441991739901,0.5755875208035441,0.18926211738326235,0.2909052627781027
