feature_setting,split_name,model,params,best_epoch,val_mae,val_rmse,val_spearman,num_features
wavelet_only,cross_train_C1_C3_test_C2,TCN,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",1,0.19573561780823345,0.22719242500752163,0.43064011379800854,72
wavelet_only,cross_train_C1_C3_test_C2,Transformer,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 1, ""weight_decay"": 0.0001}",12,0.17350405199118915,0.23527111741261228,0.1625585794006847,72
wavelet_only,cross_train_C1_C3_test_C2,latent_ode,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",17,0.1544834117180644,0.19488020351831498,-0.03326622168727433,72
wavelet_only,cross_train_C2_C3_test_C1,Ridge,"{""alpha"": 1000.0}",,,,,72
wavelet_only,cross_train_C2_C3_test_C1,LSTM,"{""dropout"": 0.0, ""hidden_dim"": 32, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",2,0.17515988158217322,0.2112280242578204,0.03504181767658965,72
wavelet_only,cross_train_C2_C3_test_C1,TCN,"{""dropout"": 0.2, ""hidden_dim"": 128, ""kernel_size"": 5, ""levels"": 3, ""lr"": 0.0005, ""weight_decay"": 0.0001}",1,0.27761904463647713,0.3123728548606469,0.9869604729447207,72
wavelet_only,cross_train_C2_C3_test_C1,Transformer,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",1,0.18630152067324768,0.22636679201573248,0.08060821380708555,72
wavelet_only,cross_train_C2_C3_test_C1,latent_ode,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",1,0.21581009697455253,0.24561820998323652,0.8401553788403876,72
original,cross_train_C1_C2_test_C3,Ridge,"{""alpha"": 1000.0}",,,,,52
original,cross_train_C1_C2_test_C3,LSTM,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",4,0.08375567159890078,0.11672990466797442,0.9544624940277114,52
original,cross_train_C1_C2_test_C3,TCN,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",1,0.09392543360943165,0.1190300643135026,0.9608960099556662,52
original,cross_train_C1_C2_test_C3,Transformer,"{""d_model"": 64, ""dim_feedforward"": 256, ""dropout"": 0.2, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",1,0.17624091909398348,0.19603969541441285,0.9354962832920366,52
original,cross_train_C1_C2_test_C3,latent_ode,"{""latent_dim"": 32, ""lr"": 0.001, ""smooth_weight"": 0.0005, ""weight_decay"": 0.0001}",9,0.41135977084975306,0.4259294028500345,0.1656823964710719,52
original,cross_train_C1_C3_test_C2,Ridge,"{""alpha"": 0.1}",,,,,52
original,cross_train_C1_C3_test_C2,LSTM,"{""dropout"": 0.0, ""hidden_dim"": 32, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",1,0.1376723538272274,0.1685789874047915,-0.10836149625623315,52
original,cross_train_C1_C3_test_C2,TCN,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",1,0.17411670389638553,0.19945085106049337,0.9850621355884515,52
original,cross_train_C1_C3_test_C2,Transformer,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 1, ""weight_decay"": 0.0001}",12,0.1613183767042863,0.19027699385688604,0.9444485955012272,52
original,cross_train_C1_C3_test_C2,latent_ode,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",22,0.3509686424650061,0.3917754364617197,-0.21611242242821194,52
original,cross_train_C2_C3_test_C1,Ridge,"{""alpha"": 1000.0}",,,,,52
original,cross_train_C2_C3_test_C1,LSTM,"{""dropout"": 0.0, ""hidden_dim"": 32, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",1,0.1974464775202796,0.2387129850707347,0.13045867792714688,52
original,cross_train_C2_C3_test_C1,TCN,"{""dropout"": 0.2, ""hidden_dim"": 128, ""kernel_size"": 5, ""levels"": 3, ""lr"": 0.0005, ""weight_decay"": 0.0001}",1,0.20655377929061625,0.23630165563965636,0.9902857828497762,52
original,cross_train_C2_C3_test_C1,Transformer,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",1,0.20229315010985982,0.23745658640553022,0.4631896289285465,52
original,cross_train_C2_C3_test_C1,latent_ode,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",1,0.24393006882300444,0.2743496850877849,0.9399329238635289,52
